text,label
"“What they’re saying,” she pressed on, “is that last night Voldemort turned up in Godric’s Hollow. He went to find the Potters. The rumor is that Lily and James Potter are — are — that they’re — dead.”",1
"Perhaps it had something to do with living in a dark cupboard, but Harry had always been small and skinny for his age. He looked even smaller and skinnier than he really was because all he had to wear were old clothes of Dudley’s, and Dudley was about four times bigger than he was. Harry had a thin face, knobbly knees, black hair, and bright green eyes. He wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched him on the nose. The only thing Harry liked about his own appearance was a very thin scar on his forehead that was shaped like a bolt of lightning. He had had it as long as he could remember, and the first question he could ever remember asking his Aunt Petunia was how he had gotten it. ",0
"Harry sat up and gasped; the glass front of the boa constrictor’s tank had vanished. The great snake was uncoiling itself rapidly, slithering out onto the floor. People throughout the reptile house screamed and started running for the exits. ",1
"Harry was glad school was over, but there was no escaping Dudley’s gang, who visited the house every single day. Piers, Dennis, Malcolm, and Gordon were all big and stupid, but as Dudley was the biggest and stupidest of the lot, he was the leader. The rest of them were all quite happy to join in Dudley’s favorite sport: Harry Hunting. ",0
"Harry picked it up and stared at it, his heart twanging like a giant elastic band. No one, ever, in his whole life, had written to him. Who would? He had no friends, no other relatives — he didn’t belong to the library, so he’d never even got rude notes asking for books back. Yet here it was, a letter, addressed so plainly there could be no mistake: ",1
"From an inside pocket of his black overcoat he pulled a slightly squashed box. Harry opened it with trembling fingers. Inside was a large, sticky chocolate cake with Happy Birthday Harry written on it in green icing. ",0
"“Welcome,” said Hagrid, “to Diagon Alley.” ",1
"He had never had any money for candy with the Dursleys, and now that he had pockets rattling with gold and silver he was ready to buy as many Mars Bars as he could carry — but the woman didn’t have Mars Bars. What she did have were Bertie Bott’s Every Flavor Beans, Drooble’s Best Blowing Gum, Chocolate Frogs, Pumpkin Pasties, Cauldron Cakes, Licorice Wands, and a number of other strange things Harry had never seen in his life. Not wanting to miss anything, he got some of everything and paid the woman eleven silver Sickles and seven bronze Knuts. ",0
"“Not Slytherin, eh?” said the small voice. “Are you sure? You could be great, you know, it’s all here in your head, and Slytherin will help you on the way to greatness, no doubt about that — no? Well, if you’re sure — better be GRYFFINDOR!” ",1
"Investigations continue into the break-in at Gringotts on 3 1 July, widely believed to be the work of Dark wizards or witches unknown. Gringotts goblins today insisted that nothing had been taken. The vault that was searched had in fact been emptied the same day. “But we’re not telling you what was in there, so keep your noses out if you know what’s good for you,” said a Gringotts spokesgoblin this afternoon. ",1
"Harry saw, as though in slow motion, the ball rise up in the air and then start to fall. He leaned forward and pointed his broom handle down — next second he was gathering speed in a steep dive, racing the ball — wind whistled in his ears, mingled with the screams of people watching — he stretched out his hand — a foot from the ground he caught it, just in time to pull his broom straight, and he toppled gently onto the grass with the Remembrall clutched safely in his fist. ",1
"They pulled on their bathrobes, picked up their wands, and crept across the tower room, down the spiral staircase, and into the Gryffindor common room. A few embers were still glowing in the fireplace, turning all the armchairs into hunched black shadows. They had almost reached the portrait hole when a voice spoke from the chair nearest them, “I can’t believe you’re going to do this, Harry.”",0
"Harry then did something that was both very brave and very stupid: He took a great running jump and managed to fasten his arms around the troll’s neck from behind. The troll couldn’t feel Harry hanging there, but even a troll will notice if you stick a long bit of wood up its nose, and Harry’s wand had still been in his hand when he’d jumped — it had gone straight up one of the troll’s nostrils.",1
"Suddenly, people were pointing up at Harry all over the stands. His broom had started to roll over and over, with him only just managing to hold on. Then the whole crowd gasped. Harry’s broom had given a wild jerk and Harry swung off it. He was now dangling from it, holding on with only one hand. ",1
"“I’ve got the Snitch!” he shouted, waving it above his head, and the game ended in complete confusion. ",1
"Hermione took out a list of subjects and titles she had decided to search while Ron strode off down a row of books and started pulling them off the shelves at random. Harry wandered over to the Restricted Section. He had been wondering for a while if Flamel wasn’t somewhere in there. Unfortunately, you needed a specially signed note from one of the teachers to look in any of the restricted books, and he knew he’d never get one. These were the books containing powerful Dark Magic never taught at Hogwarts, and only read by older students studying advanced Defense Against the Dark Arts. ",0
"She was a very pretty woman. She had dark red hair and her eyes — her eyes are just like mine, Harry thought, edging a little closer to the glass. Bright green — exactly the same shape, but then he noticed that she was crying; smiling, but crying at the same time. The tall, thin, black-haired man standing next to her put his arm around her. He wore glasses, and his hair was very untidy. It stuck up at the back, just as Harry’s did. ",0
"Unfortunately, the teachers seemed to be thinking along the same lines as Hermione. They piled so much homework on them that the Easter holidays weren’t nearly as much fun as the Christmas ones. It was hard to relax with Hermione next to you reciting the twelve uses of dragon’s blood or practicing wand movements. Moaning and yawning, Harry and Ron spent most of their free time in the library with her, trying to get through all their extra work. ",0
"Harry’s heart rose; if they were going to be working with Hagrid it wouldn’t be so bad. His relief must have showed in his face, because Filch said, “I suppose you think you’ll be enjoying yourself with that oaf? Well, think again, boy — it’s into the forest you’re going and I’m much mistaken if you’ll all come out in one piece.” “The forest?” he repeated, and he didn’t sound quite as cool as usual. “We can’t go in there at night — there’s all sorts of things in there — werewolves, I heard.” ",1
"Malfoy let out a terrible scream and bolted — so did Fang. The hooded figure raised its head and looked right at Harry — unicorn blood was dribbling down its front. It got to its feet and came swiftly toward Harry — he couldn’t move for fear. Then a pain like he’d never felt before pierced his head; it was as though his scar were on fire. Half blinded, he staggered backward. He heard hooves behind him, galloping, and something jumped clean over Harry, charging at the figure. The pain in Harry’s head was so bad he fell to his knees. It took a minute or two to pass. When he looked up, the figure had gone. A centaur was standing over him, not Ronan or Bane; this one looked younger; he had white-blond hair and a palomino body. ",1
"“SO WHAT?” Harry shouted. “Don’t you understand? If Snape gets hold of the Stone, Voldemort’s coming back! Haven’t you heard what it was like when he was trying to take over? There won’t be any Hogwarts to get expelled from! He’ll flatten it, or turn it into a school for the Dark Arts! Losing points doesn’t matter anymore, can’t you see? D’you think he’ll leave you and your families alone if Gryffindor wins the House Cup? If I get caught before I can get to the Stone, well, I’ll have to go back to the Dursleys and wait for Voldemort to find me there, it’s only dying a bit later than I would have, because I’m never going over to the Dark Side! I’m going through that trapdoor tonight and nothing you two say is going to stop me! Voldemort killed my parents, remember?” ",0
"“He is with me wherever I go,” said Quirrell quietly. “I met him when I traveled around the world. A foolish young man I was then, full of ridiculous ideas about good and evil. Lord Voldemort showed me how wrong I was. There is no good and evil, there is only power, and those too weak to seek it. ... Since then, I have served him faithfully, although I have let him down many times. He has had to be very hard on me.” Quirrell shivered suddenly. “He does not forgive mistakes easily. When I failed to steal the Stone from Gringotts, he was most displeased. He punished me . . . decided he would have to keep a closer watch on me. ...” ",1
"“Avada Kedavra.”",1
"“These accidents aren’t accidents — the crashes and explosions and derailments and whatever else has happened since we last watched the news. People are disappearing and dying and he’s behind it — Voldemort. I’ve told you this over and over again, he kills Muggles for fun. Even the fogs — they’re caused by dementors, and if you can’t remember what they are, ask your son!” ",1
"And then Harry saw him. Voldemort was flying like smoke on the wind, without broomstick or thestral to hold him, his snakelike face gleaming out of the blackness, his white fingers raising his wand again — Hagrid let out a bellow of fear and steered the motorbike into a vertical dive. Clinging on for dear life, Harry sent Stunning Spells flying at random into the whirling night. He saw a body fly past him and knew he had hit one of them, but then he heard a bang and saw sparks from the engine; the motorbike spiraled through the air, completely out of control —Green jets of light shot past them again. Harry had no idea which way was up, which down: His scar was still burning; he expected to die at any second. A hooded figure on a broomstick was feet from him, he saw it raise its arm — ",1
"Dumbledore would have believed him, he knew it. Dumbledore would have known how and why Harry’s wand had acted independently, because Dumbledore always had the answers; he had known about wands, had explained to Harry the strange connection that existed between his wand and Voldemort’s. ... But Dumbledore, like Mad-Eye, like Sirius, like his parents, like his poor owl, all were gone where Harry could never talk to them again. He felt a burning in his throat that had nothing to do with firewhisky . . . ",0
"There was silence in the room, broken only by gentle thuds as Hermione continued to throw books onto one pile or the other. Ron sat watching her, and Harry looked from one to the other, unable to say anything. The measures they had taken to protect their families made him realize, more than anything else could have done, that they really were going to come with him and that they knew exactly how dangerous that would be. He wanted to tell them what that meant to him, but he simply could not find words important enough. ",0
"“Interesting theory,” said Harry. “Has anyone ever tried sticking a sword in Voldemort? Maybe the Ministry should put some people onto that, instead of wasting their time stripping down Deluminators or covering up breakouts from Azkaban. So is this what you’ve been doing, Minister, shut up in your office, trying to break open a Snitch? People are dying — I was nearly one of them — Voldemort chased me across three counties, he killed Mad-Eye Moody, but there’s been no word about any of that from the Ministry, has there? And you still expect us to cooperate with you!” ",1
"As Amycus spun around, Harry shouted, “Crucio”. The Death Eater was lifted off his feet. He writhed through the air like a drowning man, thrashing and howling in pain, and then, with a crunch and a shattering of glass, he smashed into the front of a bookcase and crumpled, insensible, to the floor.“I see what Bellatrix meant,” said Harry, the blood thundering through his brain, “you need to really mean it.”  ",1
"Professor McGonagall moved faster than Harry could have believed: Her wand slashed through the air and for a split second Harry thought that Snape must crumple, unconscious, but the swiftness of his Shield Charm was such that McGonagall was thrown off balance. She brandished her wand at a torch on the wall and it flew out of its bracket: Harry, about to curse Snape, was forced to pull Luna out of the way of the descending flames, which became a ring of fire that filled the corridor and flew like a lasso at Snape ",1
"And Voldemort swiped the air with the Elder Wand. It did nothing to Snape, who for a split second seemed to think he had been reprieved: But then Voldemort’s intention became clear. The snake’s cage was rolling through the air, and before Snape could do anything more than yell, it had encased him, head and shoulders, and Voldemort spoke in Parseltongue. “Kill.” There was a terrible scream. Harry saw Snape ’s face losing the little color it had left; it whitened as his black eyes widened, as the snake’s fangs pierced his neck, as he failed to push the enchanted cage off himself, as his knees gave way and he fell to the floor. “I regret it,” said Voldemort coldly. He turned away; there was no sadness in him, no remorse. It was time to leave this shack and take charge, with a wand that would now do his full bidding. He pointed it at the starry cage holding the snake, which drifted upward, off Snape, who fell sideways onto the floor, blood gushing from the wounds in his neck. Voldemort swept from the room without a backward glance, and the great serpent floated after him in its huge protective sphere. ",1
" Harry looked back into the red eyes, and wanted it to happen now, quickly, while he could still stand, before he lost control, before he betrayed fear —He saw the mouth move and a flash of green light, and everything was gone.  ",1
"No cards, no presents, and Harry would be spending the evening pretending not to exist. Harry gazed miserably into the hedge. Harry had never felt so lonely. More than anything else at Hogwarts, more even than playing Quidditch, Harry missed Harry best friends, Ron Weasley and Hermione Granger. his best friends, Ron Weasley and Hermione Granger, however, didn't seem to be missing Harry at all. Neither of his best friends, Ron Weasley and Hermione Granger had written to Harry all summer, even though Harry had said Harry was going to ask Harry to come and stay. ",0
"Harry had almost forgotten that the exam results were still to come, but come they did. To their great surprise, both he and Ron passed with good marks; Hermione, of course, had the best grades of the first years. Even Neville scraped through, his good Herbology mark making up for his abysmal Potions one. They had hoped that Goyle, who was almost as stupid as he was mean, might be thrown out, but he had passed, too. It was a shame, but as Ron said, you couldn’t have everything in life. ",0
"Hagrid seized Harry and Hermione and hoisted them off the path behind a towering oak. He pulled out an arrow and fitted it into his crossbow, raising it, ready to fire. The three of them listened. Something was slithering over dead leaves nearby: it sounded like a cloak trailing along the ground. ",0
"They would have felt sorry for Hagrid when the time came for him to say good-bye to Norbert if they hadn’t been so worried about what they had to do. It was a very dark, cloudy night, and they were a bit late arriving at Hagrid ’s hut because they’d had to wait for Peeves to get out of their way in the entrance hall, where he’d been playing tennis against the wall. ",0
"Unfortunately, the teachers seemed to be thinking along the same lines as Hermione. They piled so much homework on them that the Easter holidays weren’t nearly as much fun as the Christmas ones. It was hard to relax with Hermione next to you reciting the twelve uses of dragon’s blood or practicing wand movements. Moaning and yawning, Harry and Ron spent most of their free time in the library with her, trying to get through all their extra work.",0
"Harry had never in all his life had such a Christmas dinner. A hundred fat, roast turkeys; mountains of roast and boiled potatoes; platters of chipolatas; tureens of buttered peas, silver boats of thick, rich gravy and cranberry sauce — and stacks of wizard crackers every few feet along the table. These fantastic party favors were nothing like the feeble Muggle ones the Dursleys usually bought, with their little plastic toys and their flimsy paper hats inside.",0
"Hermione took out a list of subjects and titles she had decided to search while Ron strode off down a row of books and started pulling them off the shelves at random. Harry wandered over to the Restricted Section. He had been wondering for a while if Flamel wasn’t somewhere in there. Unfortunately, you needed a specially signed note from one of the teachers to look in any of the restricted books, and he knew he’d never get one. These were the books containing powerful Dark Magic never taught at Hogwarts, and only read by older students studying advanced Defense Against the Dark Arts. ",0
"Harry went to bed with his head buzzing with the same question. Neville was snoring loudly, but Harry couldn’t sleep. He tried to empty his mind — he needed to sleep, he had to, he had his first Quidditch match in a few hours — but the expression on Snape’s face when Harry had seen his leg wasn’t easy to forget. ",0
"Hermione had become a bit more relaxed about breaking rules since Harry and Ron had saved her from the mountain troll, and she was much nicer for it. The day before Harry’s first Quidditch match the three of them were out in the freezing courtyard during break, and she had conjured them up a bright blue fire that could be carried around in a jam jar. They were standing with their backs to it, getting warm, when Snape crossed the yard. Harry noticed at once that Snape was limping. Harry, Ron, and Hermione moved closer together to block the fire from view; they were sure it wouldn’t be allowed. Unfortunately, something about their guilty faces caught Snape’s eye. He limped over. He hadn’t seen the fire, but he seemed to be looking for a reason to tell them off anyway. ",0
"“I was a very small boy when I received the bite. My parents tried everything, but in those days there was no cure. The potion that Professor Snape has been making for me is a very recent discovery. It makes me safe, you see. As long as I take it in the week preceding the full moon, I keep my mind when I transform. ... I am able to curl up in my office, a harmless wolf, and wait for the moon to wane again. ",0
"But he never finished the question, because what he saw made his voice die in his throat. Lupin was lowering his wand, gazing fixedly at Black. The Professor walked to Black’s side, seized his hand, pulled him to his feet so that Crookshanks fell to the floor, and embraced Black like a brother. ",0
"It was a room, a very disordered, dusty room. Paper was peeling from the walls; there were stains all over the floor; every piece of furniture was broken as though somebody had smashed it. The windows were all boarded up. ",0
"Exam week began and an unnatural hush fell over the castle. The third years emerged from Transfiguration at lunchtime on Monday, limp and ashen-faced, comparing results and bemoaning the difficulty of the tasks they had been set, which had included turning a teapot into a tortoise. Hermione irritated the rest by fussing about how her tortoise had looked more like a turtle, which was the least of everyone else’s worries. ",0
